epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
60,10626.8,0.9629,0.68857,1.2502,0.95541,0.8773,0.9233,0.66069,1.24422,0.78591,0.90417,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,10815.5,0.9625,0.69056,1.24763,0.95785,0.87498,0.92323,0.65938,1.24198,0.78526,0.9037,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,11002.3,0.96198,0.68448,1.24726,0.9552,0.87685,0.92323,0.65924,1.24231,0.78195,0.90318,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,11186.6,0.94345,0.67502,1.23527,0.95598,0.88066,0.92449,0.65925,1.24151,0.78161,0.90281,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,11378.2,0.93929,0.66373,1.23435,0.95399,0.8816,0.92444,0.66138,1.24024,0.77993,0.90235,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,11569.8,0.94079,0.65745,1.24047,0.9633,0.87392,0.92461,0.6617,1.23932,0.77912,0.90199,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,11761.6,0.93755,0.65802,1.23128,0.95668,0.8818,0.92483,0.66159,1.23801,0.77555,0.90136,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,11953,0.93482,0.66079,1.23217,0.95687,0.88103,0.92493,0.6618,1.23707,0.77381,0.9008,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,12143.8,0.92391,0.65775,1.22475,0.95864,0.88067,0.92483,0.66252,1.23625,0.77199,0.90052,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,12342.5,0.91431,0.64645,1.21724,0.9589,0.87873,0.92491,0.66232,1.23554,0.76944,0.90001,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,12527.1,0.91935,0.64212,1.22336,0.96221,0.87764,0.92539,0.6626,1.23482,0.76488,0.89994,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,12717.5,0.90292,0.62494,1.21286,0.96497,0.87622,0.92544,0.663,1.23382,0.76241,0.8998,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,12902.7,0.91479,0.63038,1.21443,0.96601,0.87662,0.92575,0.66325,1.23333,0.76004,0.89936,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,13094.9,0.91087,0.62777,1.21046,0.96749,0.87763,0.92576,0.6636,1.2323,0.75742,0.89903,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,13282.8,0.90525,0.62839,1.2107,0.96729,0.87922,0.92613,0.66287,1.23132,0.75531,0.89874,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,13470.3,0.9053,0.62068,1.21394,0.96707,0.88034,0.92621,0.6629,1.23046,0.75381,0.8985,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,13662.8,0.89762,0.62087,1.2077,0.96624,0.88138,0.92615,0.66342,1.22952,0.75112,0.89821,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,13854.9,0.88305,0.60835,1.20046,0.96225,0.88326,0.92606,0.66381,1.22905,0.74903,0.89802,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,14047.5,0.88133,0.60953,1.19503,0.96184,0.88359,0.92671,0.66367,1.2285,0.74621,0.89787,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,14243.2,0.88627,0.60739,1.19646,0.9622,0.88462,0.92691,0.66484,1.22853,0.74429,0.89743,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,14436.7,0.87767,0.60208,1.19416,0.96327,0.88577,0.92712,0.66531,1.22741,0.74168,0.89731,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,14624.9,0.86813,0.59688,1.19267,0.9654,0.88519,0.92724,0.66561,1.22688,0.73921,0.89705,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,14798.3,0.86428,0.59411,1.18878,0.96649,0.88457,0.92745,0.66546,1.22552,0.73661,0.89696,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,14972.8,0.85475,0.58385,1.18454,0.96703,0.88413,0.92783,0.66559,1.22535,0.73457,0.89683,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,15150.1,0.85442,0.58788,1.18115,0.96719,0.88365,0.92789,0.66585,1.22572,0.73162,0.89688,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,15324,0.8422,0.56894,1.1775,0.96859,0.88349,0.92783,0.66599,1.22503,0.72912,0.89682,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,15497,0.84451,0.57292,1.17539,0.96799,0.8833,0.92819,0.6669,1.22436,0.72631,0.89675,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,15665.1,0.84515,0.57562,1.17633,0.96782,0.88351,0.92827,0.66802,1.2234,0.7236,0.89655,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,15828.4,0.84779,0.57413,1.17195,0.96611,0.88538,0.92842,0.66789,1.22327,0.72148,0.89644,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,15991.4,0.83241,0.56525,1.16385,0.96692,0.88394,0.92857,0.66822,1.22324,0.71973,0.8963,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,16154,0.83056,0.56352,1.16509,0.96724,0.88366,0.92883,0.66851,1.22241,0.71791,0.89602,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,16337,0.74293,0.41063,1.11397,0.9695,0.88198,0.92878,0.66844,1.22164,0.71685,0.896,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,16498.6,0.72034,0.39315,1.09803,0.96853,0.88181,0.92907,0.66814,1.2214,0.71572,0.89588,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,16660.4,0.70928,0.39267,1.09728,0.96883,0.88147,0.92915,0.66863,1.2202,0.71249,0.89574,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,16821.7,0.69817,0.37593,1.08715,0.96939,0.88042,0.92958,0.66963,1.22011,0.71094,0.89581,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,16982.1,0.68985,0.37342,1.07901,0.96696,0.88141,0.92964,0.66976,1.21932,0.70909,0.8957,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,17144.4,0.68124,0.36784,1.07003,0.96512,0.88236,0.92974,0.66944,1.21911,0.70703,0.89548,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,17304.9,0.68072,0.36393,1.0686,0.96815,0.88009,0.9297,0.67045,1.21914,0.70507,0.8955,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,17464.3,0.66764,0.35553,1.05759,0.96969,0.87886,0.92972,0.67084,1.21806,0.70291,0.89532,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,17625.8,0.65894,0.35051,1.0583,0.96889,0.87864,0.92993,0.67065,1.21785,0.70103,0.89534,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,17786.8,0.65823,0.35174,1.05697,0.96378,0.88141,0.92996,0.67058,1.21753,0.69842,0.89528,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
